,TE,p_value,FDR
638,MER4B,3.423038995545743e-07,0.00032381948897862727
634,MER49,7.32808185144258e-06,0.0034661827157323405
388,LTR24,1.2036329905485547e-05,0.0037954560301964426
450,LTR5_Hs,3.329575571859194e-05,0.006299556981957595
157,HSMAR1,2.7622747597368083e-05,0.006299556981957595
12,AluSq,5.51964355393966e-05,0.008702638003378197
11,AluSp,6.633459354888028e-05,0.008964646499605822
31,AluYf1,0.00015445101730246393,0.00974071082454206
14,AluSq2,0.0001464343809984198,0.00974071082454206
62,Charlie14a,0.00015055960500043303,0.00974071082454206
587,MER136,0.0001500679380656081,0.00974071082454206
698,MER66C,0.00011693379882826974,0.00974071082454206
5,AluSc,9.062429131179026e-05,0.00974071082454206
645,MER4E1,0.00014822864961553208,0.00974071082454206
482,LTR73,0.00010834924016666069,0.00974071082454206
657,MER52C,0.0001929917067469635,0.011029496159212062
637,MER4A1_,0.00019820447643404337,0.011029496159212062
7,AluSc8,0.0003078700054112775,0.013868810719955642
299,L2b,0.0002856697910629923,0.013868810719955642
16,AluSx,0.0003054584145644291,0.013868810719955642
34,AluYh3a3,0.0002726690654994886,0.013868810719955642
65,Charlie17,0.0004588680777246391,0.01510769239608513
467,LTR61,0.00047409525261645966,0.01510769239608513
712,MER70B,0.0004141258493254979,0.01510769239608513
39,AluYj4,0.00041902345277520776,0.01510769239608513
26,AluYc,0.00045341294280582526,0.01510769239608513
8,AluSg,0.00047910229585893644,0.01510769239608513
19,AluSx4,0.00039189200171965515,0.01510769239608513
17,AluSx1,0.0003545951387829906,0.01510769239608513
9,AluSg4,0.0004382553892078786,0.01510769239608513
18,AluSx3,0.000543057182505716,0.016572003053238946
22,AluY,0.0006139017120516975,0.017898665548345245
21,AluSz6,0.0006243720540120434,0.017898665548345245
29,AluYe5,0.0007183113091274977,0.019985955836312144
865,SVA_A,0.0008084772327020362,0.02185198463246075
372,LTR1F1,0.0008340496851148801,0.021916972281074348
92,Charlie9,0.0009679294822400736,0.024096349742081833
406,LTR2B,0.0009496829076935061,0.024096349742081833
391,LTR25,0.0010243201940996554,0.024846330862007025
697,MER66A,0.0010629155113767894,0.02513795184406107
114,FLAM_A,0.0011194290679916255,0.025828778007806773
13,AluSq10,0.0011547803914916603,0.026010053579788348
612,MER34C2,0.0011894703124398027,0.026168346873675658
33,AluYh3,0.001287161901032065,0.027118324125838086
1,AluJb,0.0012899837057745388,0.027118324125838086
349,LTR16B,0.0016227533848408098,0.030391310675618895
43,AluYk3,0.0015379442152927156,0.030391310675618895
20,AluSz,0.0015816259546653033,0.030391310675618895
471,LTR66,0.0016384321823008073,0.030391310675618895
3,AluJr,0.0015803281576955638,0.030391310675618895
10,AluSg7,0.0015714057983571643,0.030391310675618895
464,LTR5A,0.0017046291976985455,0.031011138865823542
810,MLT1J2,0.001753330489077652,0.031295295144669034
115,FLAM_C,0.0019392163685266796,0.03397219786344887
374,LTR2,0.002037315641111849,0.03441608208021088
342,LTR14B,0.0020155212669706307,0.03441608208021088
812,MLT1K,0.002295812677431197,0.037190843876124494
390,LTR24C,0.0023195135187012105,0.037190843876124494
764,MLT-int,0.002247815119774986,0.037190843876124494
701,MER67C,0.0025111436380094655,0.03774619046832054
399,LTR27B,0.0025149669587934856,0.03774619046832054
688,MER61E,0.0024053216734641163,0.03774619046832054
91,Charlie8,0.0025423758979217594,0.03774619046832054
221,L1MC5a,0.002553653477772214,0.03774619046832054
535,MamGypLTR2c,0.0026784350860392684,0.0389815321752792
636,MER4A1,0.0028582477495285663,0.04096821774324279
545,MamRep38,0.0031908253208068203,0.04375285562644469
2,AluJo,0.0031912759389267267,0.04375285562644469
547,MamRep434,0.00312775219125469,0.04375285562644469
617,MER41A,0.0032908788637272253,0.04384748457867542
665,MER57B1,0.003288126653127876,0.04384748457867542
32,AluYg6,0.0035299607872045125,0.046379762565214845
826,MLT2B3,0.003690427524475269,0.047823896413063074
794,MLT1G1,0.004265414946436276,0.05452814242336104
671,MER57E2,0.004367642587919429,0.0550905318422904
635,MER4A,0.004559520787315481,0.05601696967273305
771,MLT1B,0.004525641969815512,0.05601696967273305
137,HERVE-int,0.004669634822918997,0.056634289006171415
837,MSTB,0.004832159366878,0.057859931403651706
650,MER51A,0.004893017454854267,0.057859931403651706
732,MER83C,0.00515024213944651,0.06014974152983208
784,MLT1E3,0.005586758614579712,0.06405856281467148
639,MER4B-int,0.00562036016238661,0.06405856281467148
389,LTR24B,0.005766920290626782,0.06494650708253495
386,LTR23,0.006072521403197702,0.06688692664575466
359,LTR19A,0.006080629695068606,0.06688692664575466
439,LTR45C,0.006318400109133611,0.06870352302575168
919,UCON107,0.006800960151000767,0.0699316119874644
59,Charlie12,0.006712103778912641,0.0699316119874644
855,PRIMA4_LTR,0.0067879251021744965,0.0699316119874644
614,MER39,0.006521103693075233,0.0699316119874644
36,AluYh9,0.00678518129032596,0.0699316119874644
103,ERV3-16A3_I-int,0.0070169983307977,0.07137720882725403
695,MER65D,0.007190955387829137,0.072368551030706
775,MLT1D,0.007315491371039592,0.07284689302108899
653,MER51D,0.007455736393692561,0.07347006904617878
310,LOR1a,0.008541764187933109,0.07623121624325208
863,Ricksha_b,0.008106584920730566,0.07623121624325208
158,HSMAR2,0.00796978234788668,0.07623121624325208
95,CR1-12_AMi,0.008157292787086323,0.07623121624325208
462,LTR58,0.008444738614210426,0.07623121624325208
370,LTR1D1,0.008526359298952504,0.07623121624325208
398,LTR27,0.008466269559371678,0.07623121624325208
455,LTR53,0.007859442252606494,0.07623121624325208
130,HERV1_LTRa,0.00825884633275694,0.07623121624325208
339,LTR13_,0.008101909739387693,0.07623121624325208
449,LTR5,0.00889951176763267,0.07743401907360531
0,Alu,0.008789168316263042,0.07743401907360531
4,AluJr4,0.008935129412061786,0.07743401907360531
45,AluYm1,0.009003955706233175,0.07743401907360531
41,AluYk12,0.009247179089807126,0.07810563766926377
446,LTR48,0.009205682124865128,0.07810563766926377
608,MER34A1,0.009639178513053208,0.08069613162255163
491,LTR7C,0.009757774179472527,0.08097240678755273
442,LTR47A,0.010527987951929399,0.08585755691832078
751,MER96B,0.010447255013465294,0.08585755691832078
168,Kanga1d,0.010724681226020997,0.0867140892291954
407,LTR3,0.011054243137133699,0.08862130515024134
15,AluSq4,0.011437326546217772,0.09092194044304211
192,L1M6B,0.0117771742204639,0.09284339010465709
773,MLT1C,0.012014923951319794,0.09316490211433218
448,LTR49-int,0.0120102291245404,0.09316490211433218
381,LTR22B2,0.012876009177198767,0.09823148936798413
447,LTR49,0.012862936220302294,0.09823148936798413
24,AluYa8,0.013286281734460077,0.10055058016639386
734,MER84-int,0.014563698879833135,0.10934332651049321
720,MER75,0.01469130401253928,0.10943286295954456
476,LTR6B,0.014946977390532966,0.1104675047769077
239,L1ME3D,0.015151564402961332,0.11111147228838311
30,AluYe6,0.01595198815356483,0.11608139071747946
38,AluYi6_4d,0.016105976835389897,0.1163072831013652
382,LTR22C,0.016655245108840575,0.11936258994669079
338,LTR13,0.01725246321897127,0.12271300906125429
371,LTR1F,0.01748319717943148,0.12342615322195656
404,LTR28C,0.017786580166984218,0.12463781361457088
37,AluYi6,0.01806901867152521,0.12568596811222685
420,LTR38,0.018522081688857425,0.12762498926353047
615,MER4-int,0.018902209891258806,0.12762498926353047
652,MER51C,0.01915723940319379,0.12762498926353047
44,AluYk4,0.019062258426090672,0.12762498926353047
368,LTR1C3,0.018992431345907664,0.12762498926353047
660,MER54A,0.018938286129487593,0.12762498926353047
360,LTR19B,0.019628926266792194,0.1284382196141726
452,LTR51,0.019839854028776527,0.1284382196141726
670,MER57E1,0.02004533174325569,0.1284382196141726
67,Charlie17b,0.01960876230801449,0.1284382196141726
430,LTR41,0.020093928649997404,0.1284382196141726
820,MLT1O,0.01978695373854806,0.1284382196141726
646,MER50,0.020286555828992435,0.12869151366524637
603,MER31B,0.020405631130853016,0.12869151366524637
607,MER34A,0.020631039890539108,0.12925141547317878
405,LTR29,0.021063103817855238,0.1293876377382536
118,FRAM,0.02099578555478487,0.1293876377382536
132,HERV15-int,0.02099014446480834,0.1293876377382536
179,L1M3b,0.021387345283048753,0.1296950553702828
621,MER41E,0.021360963880536737,0.1296950553702828
216,L1MC2,0.021763610253688143,0.13018310316412413
55,Charlie10,0.021880669559297815,0.13018310316412413
433,LTR43,0.02182871250675319,0.13018310316412413
456,LTR53-int,0.02224232874870669,0.13069095028743183
620,MER41D,0.022237771976321246,0.13069095028743183
696,MER66-int,0.023119077547439356,0.13500399604862737
721,MER75B,0.023596302161497145,0.13635966991285184
767,MLT1A0,0.023783663356892765,0.13635966991285184
418,LTR37A,0.023743408256238344,0.13635966991285184
839,MSTB1,0.023951553585023263,0.13649499814115668
769,MLT1A1,0.024113831587516916,0.13659691426222156
344,LTR15,0.024343202941243598,0.13707541656200264
347,LTR16A1,0.025031348853419295,0.1385295649471543
58,Charlie11,0.02504075645450675,0.1385295649471543
207,L1MB1,0.024807715355984968,0.1385295649471543
823,MLT2A2,0.02536813144684652,0.13952472295765586
711,MER70A,0.025801472029472493,0.14108781814960103
945,Zaphod3,0.026342964506535768,0.1432209449608209
385,LTR22E,0.027370455979246103,0.14795686489352464
475,LTR6A,0.02771168592125042,0.14820418509435104
492,LTR8,0.027729535688900776,0.14820418509435104
340,LTR13A,0.028419960603941436,0.15104091422094718
125,HERV-Fc1_LTR2,0.02881306296325293,0.15131298475275276
572,MER113A,0.028964600188843174,0.15131298475275276
453,LTR52,0.02911095478329916,0.15131298475275276
724,MER77,0.0287117986688104,0.15131298475275276
642,MER4D,0.02947369033531544,0.1523612626076962
401,LTR27D,0.03022866273139422,0.15541475512988548
331,LTR10G,0.030720930468962432,0.15709189310074845
526,MADE1,0.031029156080380826,0.15781495511849603
300,L2c,0.03172142724011469,0.1604731025088155
413,LTR33B,0.03193308914228415,0.1606845868542596
469,LTR64,0.03320926183598623,0.16534716682548933
375,LTR21B,0.033148379352060726,0.16534716682548933
143,HERVK14-int,0.03490936098599698,0.17290186121860282
757,MER9a1,0.035509804652462965,0.17495976667307273
800,MLT1H1,0.035899752912535866,0.17596459199616024
818,MLT1N2,0.037046355557945505,0.18064872349389924
675,MER58C,0.038388461958193155,0.18452388632310193
35,AluYh7,0.038426221570455686,0.18452388632310193
378,LTR22A,0.03820245923565597,0.18452388632310193
537,MamGypLTR3a,0.03870212811130739,0.18491016764291307
51,Arthur1C,0.03965505646834179,0.18851097195503183
577,MER11A,0.04014632538298374,0.18989211906151307
499,LTR82A,0.04081777085156951,0.19210751853524757
710,MER70-int,0.04122220539321609,0.1930505262474377
441,LTR46-int,0.042954519168456266,0.20017229129733807
843,MSTC,0.043947629500497215,0.20171481782206652
588,MER1A,0.04382210999984103,0.20171481782206652
517,LTR8A,0.04382564328594513,0.20171481782206652
838,MSTB-int,0.04435167241753682,0.20171481782206652
353,LTR16D2,0.044143243700139716,0.20171481782206652
42,AluYk2,0.04486573461799943,0.20307648300778688
414,LTR33C,0.04772635794682193,0.21389173351232596
6,AluSc5,0.04776769036598629,0.21389173351232596
286,L1PB2,0.04793345402178975,0.21389173351232596
578,MER11B,0.049292831625322754,0.21796745237344398
790,MLT1F2,0.049307647788495786,0.21796745237344398
739,MER89-int,0.049637175815969964,0.21840357359026785
395,LTR26C,0.050139803311600346,0.2195937682072867
516,LTR89,0.050705057236175986,0.22104600988673956
525,LTR9D,0.052524948782491414,0.22792936490016916
597,MER2B,0.053013315320628925,0.22899815659047926
459,LTR55,0.053575236281552634,0.23037351601067632
298,L2a,0.054048894045630194,0.2313586143310686
523,LTR9A1,0.05456345328906951,0.23250912978135027
564,MER106A,0.05630054067250219,0.23814393285177216
146,HERVK3-int,0.05664099882838133,0.23814393285177216
330,LTR10F,0.05654776798459136,0.23814393285177216
618,MER41B,0.05720514412242249,0.23945162097261802
874,THE1B-int,0.057464337340753055,0.2394769300632264
647,MER50-int,0.05943116828928833,0.24658721579678403
756,MER99,0.0602316568614353,0.247735423438773
833,MLT2F,0.059971393569132836,0.247735423438773
866,SVA_B,0.06082333601349716,0.24908604272194076
432,LTR42,0.06152680193564555,0.2508808389272444
484,LTR75B,0.06182358296817521,0.2510090535961105
907,Tigger3d,0.06302633938217914,0.25371454066187854
196,L1MA10,0.06276033383012074,0.25371454066187854
83,Charlie30a,0.06370712524352044,0.25536839186597604
644,MER4E,0.06405831355158409,0.25569267772066895
27,AluYc3,0.06523579311181353,0.2592985726209059
333,LTR12_,0.06593229124446257,0.2609704917040234
600,MER30B,0.06743716243781107,0.2636179986205342
806,MLT1J,0.06741096594465569,0.2636179986205342
679,MER5B,0.06719162931922229,0.2636179986205342
682,MER6,0.06794842580315516,0.2645235012748345
317,LTR104_Mam,0.06832504756698682,0.2648995696654489
440,LTR46,0.06863899291257093,0.26503056038894734
738,MER89,0.06912345204764883,0.2650592330280294
73,Charlie21a,0.06920679762994003,0.2650592330280294
358,LTR18C,0.07064245467168316,0.26518953221988995
783,MLT1E2-int,0.07057932609918739,0.26518953221988995
54,Charlie1,0.07038303159717332,0.26518953221988995
761,MIR3,0.06958146353093783,0.26518953221988995
593,MER21-int,0.0705150416716932,0.26518953221988995
779,MLT1E1-int,0.0711034607405999,0.26586511407354746
566,MER107,0.07168097682381917,0.26696930738320057
245,L1ME4c,0.0720891510502649,0.26743661526882584
434,LTR43-int,0.07309804603160308,0.26842223454151376
786,MLT1F,0.07320606396586739,0.26842223454151376
718,MER74B,0.07264826569044969,0.26842223454151376
832,MLT2E,0.07374023511259395,0.26933692052708064
293,L2,0.074838329217825,0.27125310130292124
605,MER34,0.07464449318710427,0.27125310130292124
363,LTR1B,0.07544576014471255,0.2719991073161227
362,LTR1A1,0.07561920213968315,0.2719991073161227
745,MER92B,0.0765074515912918,0.273619393056918
86,Charlie4z,0.07693737690606786,0.273619393056918
377,LTR22,0.07677008355720824,0.273619393056918
700,MER67B,0.07760401469111636,0.27495654643369316
297,L2-3_Crp,0.07898901557744194,0.27881943558306
380,LTR22B1,0.08067963795290518,0.2837283922061275
704,MER68-int,0.08186680142194308,0.2868370153524376
609,MER34B,0.08318317394124894,0.28930618583978496
719,MER74C,0.08295485666718269,0.28930618583978496
131,HERV1_LTRc,0.08515306158507735,0.29507251377100063
802,MLT1H2,0.08573774531976044,0.296014259388662
772,MLT1B-int,0.08667158101026673,0.29815023867531754
483,LTR75,0.08702890716139113,0.29829473251694205
717,MER74A,0.08832815763142156,0.3014527515478769
477,LTR70,0.0885875950637524,0.3014527515478769
40,AluYk11,0.09037040101925368,0.3061938917053016
703,MER68,0.09062821318972987,0.3061938917053016
687,MER61D,0.09313619836518222,0.31354748631125406
56,Charlie10a,0.09350789511365666,0.31368251339545816
533,MamGypLTR1d,0.09396705963589316,0.31410896966627183
782,MLT1E2,0.09501828243382039,0.3153940181838389
798,MLT1H,0.09482736003578529,0.3153940181838389
513,LTR88a,0.09878238519663825,0.32674173565041886
101,ERV24_Prim-int,0.0998836921500588,0.3292333546130858
28,AluYd8,0.10124868251476705,0.3325737974269779
25,AluYb9,0.10260631995528138,0.33355868961407625
929,UCON81,0.10214276534325294,0.33355868961407625
542,MamRep1527,0.10250503639438834,0.33355868961407625
834,MSTA,0.1030578810213474,0.33387929947326933
232,L1ME2,0.10404536644155438,0.33592804318672503
336,LTR12E,0.10575741070069718,0.340294253479114
852,PABL_B-int,0.10682506981665199,0.3425644611747552
397,LTR26E,0.1096144471274468,0.3503218479140699
651,MER51B,0.11231089771859937,0.356910472062824
684,MER61A,0.11243057153776063,0.356910472062824
485,LTR76,0.11547193389399227,0.3586315906153231
825,MLT2B2,0.11341817299676488,0.3586315906153231
880,Tigger10,0.11522736099882298,0.3586315906153231
877,THE1D,0.11542476997035102,0.3586315906153231
570,MER112,0.11422765166232739,0.3586315906153231
472,LTR67B,0.11560858998295366,0.3586315906153231
218,L1MC4,0.11562646420472891,0.3586315906153231
150,HERVL18-int,0.11623864973820817,0.359352165530539
827,MLT2B4,0.11909535781521843,0.3669843924859825
243,L1ME4a,0.12000427232737967,0.36858455071980895
895,Tigger19a,0.12055401943848,0.3690747650123045
350,LTR16B1,0.12123185507369995,0.3699526932249037
862,Ricksha_a,0.12287846331835033,0.3703493599080803
85,Charlie4a,0.12363646191833841,0.3703493599080803
730,MER83B,0.12301619215391049,0.3703493599080803
480,LTR72,0.12267746287922811,0.3703493599080803
241,L1ME3F,0.12371077984244544,0.3703493599080803
206,L1MA9,0.12269719981917415,0.3703493599080803
351,LTR16B2,0.12666120443919845,0.3767971679228986
244,L1ME4b,0.1263628644896177,0.3767971679228986
664,MER57A1,0.12800182152998088,0.3795916086751157
238,L1ME3Cz,0.12844945566162033,0.3797287032996651
429,LTR40c,0.1288945367617674,0.3798574198648971
460,LTR56,0.13034567479152975,0.3804922654376534
400,LTR27C,0.13180964189410954,0.3804922654376534
694,MER65A,0.13051360391362313,0.3804922654376534
932,UCON97,0.13113503362111184,0.3804922654376534
304,L4_B_Mam,0.1316970626392305,0.3804922654376534
860,Ricksha,0.12963105736728514,0.3804922654376534
569,MER110A,0.13192543664223078,0.3804922654376534
451,LTR50,0.13298606096949406,0.3823854519062048
613,MER34D,0.13477908530011976,0.3863667111936766
505,LTR85b,0.13841216459228822,0.3955828027320382
315,LTR103_Mam,0.14072222508239343,0.40097356906007287
412,LTR33A_,0.14169882563876385,0.4025438109737856
715,MER72B,0.1455123906620498,0.41213988492903925
411,LTR33A,0.14627620297079053,0.4130665313742323
845,MSTD,0.14780380725384604,0.4161381001849355
753,MER97b,0.14906953139850337,0.41845631069134775
100,DNA1_Mam,0.1507284213031604,0.4215519479531648
291,L1PBb,0.15106354160266688,0.4215519479531648
230,L1MDb,0.15253532587732208,0.42440711258807845
292,L1PREC2,0.15406862204650434,0.4249404287841675
853,Penelope1_Vert,0.15407459521455544,0.4249404287841675
408,LTR31,0.1535897430859119,0.4249404287841675
748,MER94,0.15565489747541025,0.4280509680573782
205,L1MA8,0.15716632963826607,0.4293534434540217
830,MLT2C2,0.15791776695756343,0.4293534434540217
258,L1P2,0.15794397285623632,0.4293534434540217
153,HERVL66-int,0.1575272766699864,0.4293534434540217
662,MER57-int,0.15897595189293062,0.4309204885120698
683,MER61-int,0.16404816880180229,0.4433987648185856
272,L1PA14,0.1646785929143367,0.4438346122420585
90,Charlie7a,0.16630089017020583,0.44693364233242816
246,L1ME5,0.16678450843635884,0.4469635835150013
596,MER21C,0.16761537146493694,0.44771157913972737
120,HAL1b,0.16814271765916178,0.44771157913972737
850,PABL_A,0.1684834272449714,0.44771157913972737
788,MLT1F1,0.16967271409597912,0.4483530378066934
323,LTR108d_Mam,0.1695659098483396,0.4483530378066934
410,LTR33,0.17167144016557473,0.4487875485964327
780,MLT1E1A,0.1726835810667035,0.4487875485964327
768,MLT1A0-int,0.17255856970996597,0.4487875485964327
425,LTR3B_,0.1708448115551376,0.4487875485964327
536,MamGypLTR3,0.17181251373410814,0.4487875485964327
329,LTR10E,0.17262716934678532,0.4487875485964327
626,MER45A,0.17451846326754256,0.4523136061673843
714,MER72,0.1751022980070639,0.4525868139745422
178,L1M3a,0.17691527630558984,0.45602684301113894
257,L1P1,0.17888080320393213,0.45984032562749944
908,Tigger4,0.1816820897177872,0.4600497465581581
242,L1ME3G,0.18080547001429226,0.4600497465581581
144,HERVK14C-int,0.17961713194026135,0.4600497465581581
814,MLT1L,0.1800234525365627,0.4600497465581581
641,MER4CL34,0.18275717671707434,0.4600497465581581
554,MARNA,0.18285275338886622,0.4600497465581581
672,MER57E3,0.18265036769972748,0.4600497465581581
654,MER51E,0.18170776662449656,0.4600497465581581
369,LTR1D,0.1842285409925677,0.46126587820505827
663,MER57A-int,0.18431131285572094,0.46126587820505827
213,L1MB8,0.18810474087360946,0.4682818022800909
225,L1MD,0.18795206802097963,0.4682818022800909
416,LTR35A,0.1895700410367261,0.47069096803344584
431,LTR41C,0.19032888272256696,0.4713380184700218
376,LTR21C,0.19322392321714393,0.4747787827621251
808,MLT1J1,0.1926019434247867,0.4747787827621251
326,LTR10B1,0.1932040395263639,0.4747787827621251
740,MER91A,0.19578756976774317,0.47859183721003884
321,LTR108a_Mam,0.19557081942509152,0.47859183721003884
445,LTR47B4,0.1966646045499758,0.47949669047494103
219,L1MC4a,0.1972224677161727,0.47962070555141223
658,MER52D,0.1987937316818456,0.47974201574241315
792,MLT1G,0.1984212982559105,0.47974201574241315
510,LTR86B2,0.1981568364967683,0.47974201574241315
402,LTR27E,0.20129869073363543,0.48455104690590106
233,L1ME2z,0.2046308878400132,0.49007802505481646
598,MER3,0.20425275024614808,0.49007802505481646
444,LTR47B3,0.20521545020347728,0.49023690881941795
524,LTR9B,0.21087809741557123,0.4937497648417786
849,ORSL-2b,0.2095465729541305,0.4937497648417786
427,LTR40A1,0.21249011702174603,0.4937497648417786
307,LFSINE_Vert,0.20799724610775439,0.4937497648417786
367,LTR1C1,0.2098540274046399,0.4937497648417786
435,LTR43B,0.21230608935215836,0.4937497648417786
311,LOR1b,0.21294915862097852,0.4937497648417786
565,MER106B,0.2112000453016887,0.4937497648417786
355,LTR16E2,0.21022235086523777,0.4937497648417786
235,L1ME3A,0.21261438928577908,0.4937497648417786
765,MLT1A,0.21215161715964131,0.4937497648417786
295,L2-1_Crp,0.21215939936040754,0.4937497648417786
96,CR1-13_AMi,0.21427834702794404,0.4944080885083782
208,L1MB2,0.2139853292129748,0.4944080885083782
936,X6B_LINE,0.21813905019267477,0.4999332598019579
835,MSTA-int,0.2175025820355826,0.4999332598019579
540,MamRep1161,0.2182583893215736,0.4999332598019579
586,MER135,0.22077306416617523,0.5044717843024197
170,L1M,0.2222640815019183,0.5066549906043727
906,Tigger3c,0.2252161212829314,0.5109219442054032
546,MamRep4096,0.22477735202424137,0.5109219442054032
212,L1MB7,0.22796358888063822,0.5129413203517345
648,MER50B,0.22871979629959932,0.5129413203517345
222,L1MCa,0.2288173754634587,0.5129413203517345
686,MER61C,0.22811342641328244,0.5129413203517345
763,MIRc,0.22786919881525947,0.5129413203517345
519,LTR9,0.23283038696231662,0.5207034185965757
804,MLT1I,0.23432072915307356,0.5228004947613386
886,Tigger14a,0.23628931564540098,0.5259522178836455
731,MER83B-int,0.2379096526635921,0.5283158014548313
116,FordPrefect,0.23857497000254196,0.5285525096543435
139,HERVH-int,0.23985077620984824,0.5301374633049449
486,LTR78,0.24647023498060827,0.5301727909990493
280,L1PA6,0.24273356592006523,0.5301727909990493
589,MER1B,0.2470991683314563,0.5301727909990493
943,Zaphod,0.24521857207250605,0.5301727909990493
817,MLT1M-int,0.24064477196655915,0.5301727909990493
177,L1M3,0.2448729344638829,0.5301727909990493
108,ERVL47-int,0.2481201591158257,0.5301727909990493
209,L1MB3,0.24827330487587615,0.5301727909990493
148,HERVKC4-int,0.2474034311652044,0.5301727909990493
815,MLT1L-int,0.24465321901089815,0.5301727909990493
901,Tigger2a,0.24542245412247726,0.5301727909990493
873,THE1B,0.24250124016158503,0.5301727909990493
876,THE1C-int,0.24273538036506564,0.5301727909990493
227,L1MD2,0.24693182379718479,0.5301727909990493
250,L1MEf,0.24417841524145945,0.5301727909990493
392,LTR25-int,0.24903265799363333,0.5305966091485972
766,MLT1A-int,0.2500517320770412,0.5315706484154629
868,SVA_D,0.25285779423636,0.5345477418940762
774,MLT1C-int,0.25527778970504167,0.5345477418940762
659,MER53,0.2550415543052992,0.5345477418940762
741,MER91B,0.2539325192339364,0.5345477418940762
643,MER4D1,0.25540758915023515,0.5345477418940762
859,PrimLTR79,0.2521957065277537,0.5345477418940762
259,L1P3,0.2544652011816618,0.5345477418940762
343,LTR14C,0.25798671563872777,0.5363855670202999
76,Charlie24,0.2576200574276549,0.5363855670202999
661,MER54B,0.25696594882476226,0.5363855670202999
527,MADE2,0.25957850475673294,0.5385115471488363
215,L1MC1,0.26487552987124297,0.5450262067713153
599,MER30,0.2637357244547929,0.5450262067713153
489,LTR7A,0.26405075485070933,0.5450262067713153
851,PABL_B,0.26502331407484675,0.5450262067713153
552,MamTip2,0.2663824674665989,0.5466330026538015
858,PRIMAX-int,0.26742262946021034,0.5475796698470974
573,MER113B,0.2683699363463824,0.5483325265306215
819,MLT1N2-int,0.27057101777897935,0.5516383250407639
691,MER63C,0.27465482173703637,0.5525206799933009
231,L1ME1,0.271852591065936,0.5525206799933009
